restaurant_name,cuisine
STK - NYC - Midtown,Steakhouse
Tavern on the Green,American
Lido,Italian
Becco,Italian
Catch New York,Seafood
Tao Uptown,Asian
Tao Downtown,Pan-Asian
Serra by Birreria,Italian
Red Rooster Harlem,Southern
Del Frisco's Double Eagle Steakhouse - New York City,Steakhouse
FIG & OLIVE Fifth Avenue,Mediterranean
Sarabeth's West,American
Rosa Mexicano by Lincoln Center,Mexican
Bar Boulud,French
Boulud Sud,Mediterranean
Café Boulud,French
ilili,Lebanese
JoJo,Farm-to-table
Atlantic Grill Near Lincoln Center,Seafood
La Pecora Bianca - Midtown,Italian
Toloache-Midtown,Mexican
Lincoln Ristorante,Italian
The View Restaurant,Contemporary American
Ocean Prime - New York,Seafood
The Palm Court at The Plaza Hotel,American
La Pecora Bianca - NoMad,Italian
Scarpetta,Italian
Zuma Japanese Restaurant - NY,Japanese
Blue Fin - New York,Seafood
Hakkasan - New York,Chinese
Park Avenue Summer,American
Empellon Midtown,Contemporary Mexican
'Cesca,Italian
Butter Midtown,Contemporary American
LAVO Italian Restaurant,Italian
Morandi,Italian
Orsay,French
Philippe Chow - Uptown,Chinese
La Masseria,Italian
Barbounia,Mediterranean
Morimoto New York,Japanese
The Wayfarer,American
Casa Lever,Italian
Victor's Café,Cuban
db Bistro moderne,French
Claudette,French
Jams - NYC,American
Smith & Wollensky - New York,Steakhouse
FIG & OLIVE Meatpacking,Mediterranean
Oxbow Tavern,French American
Smoke Jazz and Supper Club,Contemporary American
Danji,Korean
21 Club,American
Molyvos,Greek
Lexington Brass,American
Il Mulino New York - Uptown,Italian
Ousia,Mediterranean
Dos Caminos - Times Square,Mexican
T-BAR Steak & Lounge (Upper East Side),Steakhouse
Sarabeth's Park Avenue South,American
Masseria dei Vini,Italian
Kellari Taverna,Greek
Burke & Wills,Australian
Marseille,French
L'adresse,Contemporary American
Bocca di Bacco (Hell's Kitchen - 54th St.),Italian
Kyma - Flatiron,Greek
The Capital Grille - NY - Rockefeller Center,Steakhouse
Tommy Bahama - New York,American
BLACKBARN Restaurant - NoMad,American
La Sirene UWS,French
GAONNURI,Korean
Rosa Mexicano - Union Square,Mexican
Obao,Thai
Obao,Thai
Almond,Farm-to-table
Ai Fiori,Contemporary European
Cafe d'Alsace,French
Hunt & Fish Club NYC,Steakhouse
Rosa Mexicano - First Avenue,Mexican
Lattanzi,Italian
Glass House Tavern,Contemporary American
The Whitby Bar and Restaurant,American
La Goulue,French
FIG & OLIVE Uptown,Mediterranean
Empellon Taqueria,Contemporary Mexican
MR CHOW - 57th,Chinese
Bocca Di Bacco (Theatre District - 45th St.),Italian
The Capital Grille - NY – Chrysler Center,Steakhouse
Bobo Restaurant,French
Rotisserie Georgette,French American
Brasserie 8 1/2,French
Casa Nonna - Midtown,Italian
Benoit Restaurant and Wine Bar,French
Ruth's Chris Steak House - New York City - Midtown,Steakhouse
Sarabeth's Central Park South,American
Gallaghers Steakhouse - Manhattan,Steakhouse
Nice Matin,French
Sarabeth's East,American
The Ribbon - Midtown,Contemporary American
Storico,Contemporary Italian
Armani Ristorante 5th Avenue,Italian
The Leopard at des Artistes,Italian
STK - NYC - Meatpacking,Steakhouse
Felidia,Italian
Manzo Ristorante - Eataly NYC Flatiron,Italian
The Lambs Club,Contemporary American
Bar Italia,Italian
Riverpark,American
Club A Steakhouse,Steakhouse
Michael's,American
Felice 83,Italian
STK Rooftop,Contemporary American
Sea Fire Grill,Seafood
Le Rivage,French
LEGASEA,Seafood
Natsumi Restaurant,Japanese
Feroce,Italian
DaDong NY,Chinese
Monkey Bar,American
Bluebird London NYC,British
Sant Ambroeus - West Village,Italian
Anassa Taverna,Greek
Boucherie - Union Square,French
Shun Lee West,Chinese
Chez Josephine,French
Match 65 Brasserie (formerly Paris Match),French
Philippe Chow - Downtown,Chinese
Hudson Yards Grill,American
Dos Caminos - Park,Mexican
Woodpecker by David Burke,American
Casa Mono,Spanish
Bodega Negra,Contemporary Mexican
Haru Sushi - Amsterdam Ave,Japanese
Maiella - LIC,Italian
Churrascaria Plataforma Brazilian Steakhouse,Brazilian Steakhouse
Bobby Van's Grill - 50th Street,American
MIFUNE New York,Japanese
Brasserie Cognac East,French
Il Cantinori,Italian
Benjamin Steakhouse Prime,American
Lincoln Square Steak,Steakhouse
Naples 45,Italian
Ammos Estiatorio,Seafood
Trattoria Zero Otto Nove,Italian
Ortzi by Jose Garces,Basque
Obica Mozzarella Bar  Pizza e Cucina,Italian
Zengo - NYC,Asian
Fine & Rare,American
Bagatelle - NY,French
Periyali,Greek
David Burke Tavern,Contemporary American
Strip House Midtown,Steak
Farmer & The Fish - Gramercy,Farm-to-table
.Tarallucci e Vino Upper West Side,Italian
Bann Restaurant,Korean
The Flatiron Room,American
Maloney & Porcelli,American
Le Coq Rico,Contemporary French
Pera Mediterranean Brasserie,Mediterranean
Brasserie Ruhlmann,French American
Etcetera Etcetera,Italian
Socarrat Paella Bar - Midtown East,Spanish
Socarrat Paella Bar - Chelsea,Spanish
Felice 64 Wine Bar,Italian
Chazz Palminteri Italian Restaurant,Italian
Todd English at The Plaza Food Hall,Contemporary American
Rock Center Cafe,Contemporary American
Rahi,Contemporary Indian
Cipriani - Dolci,Italian
Perrine,American
Aretsky's Patroon,American
Neta,Japanese
Café Centro,French
The Sea Grill,Seafood
Morton's The Steakhouse - Midtown Manhattan,Steakhouse
Davio's - Manhattan,Steakhouse
Hanjan,Korean
Le Colonial NYC,Vietnamese
High Street on Hudson,Contemporary American
Society Cafe,American
Bistro Pierre Lapin,French
Bedford & Co.,Contemporary American
Ted's Montana Grill - NYC,American
The House in Gramercy Park,American
Inakaya,Japanese
American Cut Steakhouse Midtown,Steakhouse
Pampano New York,Mexican
Shun Lee Palace,Chinese
Feast,Contemporary American
Bocca,Italian
Rossini's Restaurant,Italian
Il Mulino Prime - Gramercy,Italian
Irvington,Contemporary American
Nick & Stef’s Steakhouse - New York,Steakhouse
Barbetta Restaurant,Italian
Clement,American
Standard Grill,American
Dos Caminos – Meatpacking,Mexican
Docks Oyster Bar and Seafood Grill,Seafood
The Cecil Steakhouse,American
Empire Steak House- East,Steakhouse
Osteria 57,Italian
Empire Steakhouse - 237 West 54 Street off of Broadway,Steakhouse
Tarallucci e Vino NoMad,Italian
Trattoria Italienne,Italian
Suzuki,Japanese
Sofrito NYC,Latin / Spanish
.Tarallucci e Vino Union Square,Italian
Gaby Brasserie Française,French
Bocca Di Bacco (Chelsea - 20th St.),Italian
Merakia,Greek
Giorgio's of Gramercy,Contemporary American
Delmonico's Kitchen,American
Bobby Van's Grill Times Square,American
Tender Restaurant,American
Jue Lan Club,Chinese
Altesi Ristorante,Italian
Leonelli Taberna,Italian
Astor Court,International
STATE Grill and Bar,American
Haru Hell's Kitchen,Japanese
The Shakespeare,British
Kingside,American
La Fonda Del Sol,Spanish
Amma,Indian
Frankie & Johnnie's Steakhouse - Manhattan,Steak
Ben and Jack's Steakhouse 44th Street,Steakhouse
Il Postino,Italian
Bread & Tulips,Italian
Vandal,Tapas / Small Plates
Bob's Steak & Chop House - New York,Steakhouse
Blenheim,Contemporary American
Montebello Ristorante Italiano,Italian
1 Darbar,Indian
Meet the Meat,Steakhouse
Cafe Clover,Contemporary American
Nobu Downtown | Restaurant,Japanese
2 Darbar Grill,Indian
Junoon Main Dining Room,Indian
Left Bank NYC,American
Beauty & Essex- New York,Tapas / Small Plates
Mercer Kitchen,American
The Dutch,American
Lafayette,French
Bar Primi,Italian
Lupa,Italian
Boucherie - West Village,French
Lure New York,Seafood
Indochine,Vietnamese
Hearth,Italian
The Loyal,American
Sant Ambroeus SoHo,Italian
Tamarind - Tribeca,Indian
El Vez New York,Mexican
Pig and Khao,Southeast Asian
Sarabeth's TriBeCa,American
MAMO Restaurant,Italian
Leuca,Italian
Bâtard,French
Il Mulino New York - Downtown,Italian
BAAR BAAR,Contemporary Indian
The Bombay Bread Bar,Indian
Little Park,Contemporary American
Narcissa Restaurant,Contemporary American
MR CHOW - TriBeca,Chinese
Essex,Fusion / Eclectic
Pera Soho,Mediterranean
Tribeca Grill,American
Delmonico's,Steakhouse
Dos Caminos - SoHo,Mexican
Gran Morsi,Italian
Toloache Thompson St.,Mexican
Temple Court,American
Temple Court,American
Khe-Yo,Laotian
The Osprey,American
SAN CARLO  Osteria Piemonte,Italian
Osteria della Pace - Eataly NYC Downtown,Italian
Il Mulino New York - Tribeca,Italian
La Loteria,Contemporary Mexican
Porsena,Italian
Il Mulino Prime - SoHo,Italian
Fonda - East Village,Contemporary Mexican
10 Corso Como - New York,Italian
The Woo,Korean
Socarrat Paella Bar - Nolita,Spanish
Antica Pesa,Italian
American Cut Steakhouse,Steakhouse
The Palm Tribeca,Steakhouse
La Sirene,French
CUT By Wolfgang Puck at FS Downtown New York,Steak
The Capital Grille - NY- Wall Street,Steakhouse
Felice 15 Gold Street,Italian
Rosa Mexicano - TriBeCa,Mexican
Barano,Italian
Frankie and Johnnie's Steakhouse - 46th Street,Steakhouse
The Wright,American
Henry at Life Hotel,"Global, International"
Strip House Speakeasy,Steakhouse
The Morgan Dining Room,American
The Library at the Public,American
Cipriani - Wall Street,Italian
Tarallucci e Vino East Village,Italian
Thalassa,Seafood
Limani,Mediterranean
Schilling,Austrian
