restaurant_name,inspection_score,grade
STK - NYC - Midtown,,
Tavern on the Green,,
Lido,14.178571428571427,B
Becco,14.333333333333336,B
Catch New York,,
Tao Uptown,,
Tao Downtown,18.53846153846154,B
Serra by Birreria,,
Red Rooster Harlem,14.105263157894735,B
Del Frisco's Double Eagle Steakhouse - New York City,,
FIG & OLIVE Fifth Avenue,,
Sarabeth's West,,
Rosa Mexicano by Lincoln Center,,
Bar Boulud,11.857142857142858,A
Boulud Sud,18.857142857142858,B
Café Boulud,,
ilili,,
JoJo,,
Atlantic Grill Near Lincoln Center,,
La Pecora Bianca - Midtown,,
Toloache-Midtown,,
Lincoln Ristorante,9.428571428571429,A
The View Restaurant,,
Ocean Prime - New York,,
The Palm Court at The Plaza Hotel,,
La Pecora Bianca - NoMad,,
Scarpetta,24.8,B
Zuma Japanese Restaurant - NY,,
Blue Fin - New York,,
Hakkasan - New York,,
Park Avenue Summer,,
Empellon Midtown,,
'Cesca,27.45454545454545,C
Butter Midtown,,
LAVO Italian Restaurant,,
Morandi,11.285714285714285,A
Orsay,13.866666666666667,A
Philippe Chow - Uptown,,
La Masseria,,
Barbounia,16.517241379310345,B
Morimoto New York,,
The Wayfarer,20.642857142857142,B
Casa Lever,13.333333333333336,A
Victor's Café,,
db Bistro moderne,,
Claudette,11.333333333333336,A
Jams - NYC,,
Smith & Wollensky - New York,,
FIG & OLIVE Meatpacking,,
Oxbow Tavern,9.571428571428571,A
Smoke Jazz and Supper Club,,
Danji,20.0,B
21 Club,12.375,A
Molyvos,22.75862068965517,B
Lexington Brass,15.827586206896553,B
Il Mulino New York - Uptown,,
Ousia,23.1875,B
Dos Caminos - Times Square,,
T-BAR Steak & Lounge (Upper East Side),,
Sarabeth's Park Avenue South,,
Masseria dei Vini,,
Kellari Taverna,20.09090909090909,B
Burke & Wills,,
Marseille,17.705882352941178,B
L'adresse,,
Bocca di Bacco (Hell's Kitchen - 54th St.),,
Kyma - Flatiron,,
The Capital Grille - NY - Rockefeller Center,,
Tommy Bahama - New York,,
BLACKBARN Restaurant - NoMad,,
La Sirene UWS,,
GAONNURI,,
Rosa Mexicano - Union Square,,
Obao,24.970588235294123,B
Obao,19.75675675675676,B
Almond,25.42857142857143,B
Ai Fiori,17.708333333333332,B
Cafe d'Alsace,,
Hunt & Fish Club NYC,,
Rosa Mexicano - First Avenue,,
Lattanzi,18.4,B
Glass House Tavern,19.071428571428573,B
The Whitby Bar and Restaurant,,
La Goulue,,
FIG & OLIVE Uptown,,
Empellon Taqueria,,
MR CHOW - 57th,,
Bocca Di Bacco (Theatre District - 45th St.),,
The Capital Grille - NY – Chrysler Center,,
Bobo Restaurant,17.5,B
Rotisserie Georgette,17.22222222222222,B
Brasserie 8 1/2,13.235294117647056,A
Casa Nonna - Midtown,,
Benoit Restaurant and Wine Bar,,
Ruth's Chris Steak House - New York City - Midtown,,
Sarabeth's Central Park South,,
Gallaghers Steakhouse - Manhattan,,
Nice Matin,14.047619047619047,B
Sarabeth's East,,
The Ribbon - Midtown,,
Storico,,
Armani Ristorante 5th Avenue,,
The Leopard at des Artistes,,
STK - NYC - Meatpacking,,
Felidia,,
Manzo Ristorante - Eataly NYC Flatiron,,
The Lambs Club,41.40909090909091,C
Bar Italia,24.142857142857146,B
Riverpark,12.307692307692307,A
Club A Steakhouse,26.741935483870968,B
Michael's,,
Felice 83,,
STK Rooftop,,
Sea Fire Grill,,
