restaurant_name,neighborhood
STK - NYC - Midtown,Midtown West
Tavern on the Green,Midtown West
Lido,Harlem
Becco,Theater District / Times Square
Catch New York,Meatpacking District
Tao Uptown,Midtown East
Tao Downtown,Chelsea
Serra by Birreria,Gramercy / Flatiron
Red Rooster Harlem,Harlem
Del Frisco's Double Eagle Steakhouse - New York City,Midtown West
FIG & OLIVE Fifth Avenue,Midtown East
Sarabeth's West,Upper West Side
Rosa Mexicano by Lincoln Center,Lincoln Square
Bar Boulud,Upper West Side
Boulud Sud,Lincoln Square
Café Boulud,Upper East Side
ilili,Gramercy / Flatiron
JoJo,Upper East Side
Atlantic Grill Near Lincoln Center,Upper West Side
La Pecora Bianca - Midtown,Midtown East
Toloache-Midtown,Theater District / Times Square
Lincoln Ristorante,Upper West Side
The View Restaurant,Theater District / Times Square
Ocean Prime - New York,Rockefeller Center Midtown
The Palm Court at The Plaza Hotel,Midtown East
La Pecora Bianca - NoMad,Gramercy / Flatiron
Scarpetta,NoMad
Zuma Japanese Restaurant - NY,Midtown East
Blue Fin - New York,Theater District / Times Square
Hakkasan - New York,Midtown West
Park Avenue Summer,Gramercy / Flatiron
Empellon Midtown,Midtown East
'Cesca,Upper West Side
Butter Midtown,Midtown West
LAVO Italian Restaurant,Midtown East
Morandi,West Village
Orsay,Upper East Side
Philippe Chow - Uptown,Upper East Side
La Masseria,Theater District / Times Square
Barbounia,Gramercy / Flatiron
Morimoto New York,Chelsea
The Wayfarer,Midtown West
Casa Lever,Midtown East
Victor's Café,Theater District / Times Square
db Bistro moderne,Theater District / Times Square
Claudette,Greenwich Village
Jams - NYC,Midtown West
Smith & Wollensky - New York,Midtown East
FIG & OLIVE Meatpacking,Meatpacking District
Oxbow Tavern,Upper West Side
Smoke Jazz and Supper Club,Upper West Side
Danji,Hell's Kitchen
21 Club,Midtown West
Molyvos,Midtown West
Lexington Brass,Midtown East
Il Mulino New York - Uptown,Upper East Side
Ousia,Hell's Kitchen
Dos Caminos - Times Square,Theater District / Times Square
T-BAR Steak & Lounge (Upper East Side),Upper East Side
Sarabeth's Park Avenue South,Gramercy / Flatiron
Masseria dei Vini,Midtown West
Kellari Taverna,Theater District / Times Square
Burke & Wills,Upper West Side
Marseille,Theater District / Times Square
L'adresse,Midtown West
Bocca di Bacco (Hell's Kitchen - 54th St.),Hell's Kitchen
Kyma - Flatiron,Gramercy / Flatiron
The Capital Grille - NY - Rockefeller Center,Midtown West
Tommy Bahama - New York,Midtown East
BLACKBARN Restaurant - NoMad,NoMad
La Sirene UWS,Upper West Side
GAONNURI,Midtown West
Rosa Mexicano - Union Square,Union Square
Obao,Hell's Kitchen
Obao,Hell's Kitchen
Almond,Gramercy / Flatiron
Ai Fiori,Midtown West
Cafe d'Alsace,Upper East Side
Hunt & Fish Club NYC,Theater District / Times Square
Rosa Mexicano - First Avenue,Midtown East
Lattanzi,Theater District / Times Square
Glass House Tavern,Theater District / Times Square
The Whitby Bar and Restaurant,Midtown West
La Goulue,Upper East Side
FIG & OLIVE Uptown,Upper East Side
Empellon Taqueria,West Village
MR CHOW - 57th,Midtown East
Bocca Di Bacco (Theatre District - 45th St.),Theater District / Times Square
The Capital Grille - NY – Chrysler Center,Midtown East
Bobo Restaurant,West Village
Rotisserie Georgette,Upper East Side
Brasserie 8 1/2,Midtown West
Casa Nonna - Midtown,Midtown West
Benoit Restaurant and Wine Bar,Midtown West
Ruth's Chris Steak House - New York City - Midtown,Theater District / Times Square
Sarabeth's Central Park South,Midtown West
Gallaghers Steakhouse - Manhattan,Midtown West
Nice Matin,Upper West Side
Sarabeth's East,Upper East Side
The Ribbon - Midtown,Theater District / Times Square
Storico,Upper West Side
Armani Ristorante 5th Avenue,Midtown East
The Leopard at des Artistes,Upper West Side
STK - NYC - Meatpacking,Meatpacking District
Felidia,Midtown East
Manzo Ristorante - Eataly NYC Flatiron,Gramercy / Flatiron
The Lambs Club,Theater District / Times Square
Bar Italia,Upper East Side
Riverpark,Murray Hill
Club A Steakhouse,Midtown East
Michael's,Midtown West
Felice 83,Upper East Side
STK Rooftop,Meatpacking District
Sea Fire Grill,Midtown East
Le Rivage,Theater District / Times Square
LEGASEA,Midtown West
Natsumi Restaurant,Theater District / Times Square
Feroce,Chelsea
DaDong NY,Midtown West
Monkey Bar,Midtown East
Bluebird London NYC,Columbus Circle
Sant Ambroeus - West Village,West Village
Anassa Taverna,Upper East Side
Boucherie - Union Square,Gramercy / Flatiron
Shun Lee West,Lincoln Square
Chez Josephine,Theater District / Times Square
Match 65 Brasserie (formerly Paris Match),Upper East Side
Philippe Chow - Downtown,Meatpacking District
Hudson Yards Grill,Garment District / Flower District
Dos Caminos - Park,Gramercy / Flatiron
Woodpecker by David Burke,NoMad
Casa Mono,Union Square
Bodega Negra,Meatpacking District
Haru Sushi - Amsterdam Ave,Upper West Side
Maiella - LIC,Long Island City
Churrascaria Plataforma Brazilian Steakhouse,Theater District / Times Square
Bobby Van's Grill - 50th Street,Theater District / Times Square
MIFUNE New York,Midtown East
Brasserie Cognac East,Upper East Side
Il Cantinori,East Village
Benjamin Steakhouse Prime,Midtown East
Lincoln Square Steak,Upper West Side
Naples 45,Midtown East
Ammos Estiatorio,Midtown East
Trattoria Zero Otto Nove,Chelsea
Ortzi by Jose Garces,Theater District / Times Square
Obica Mozzarella Bar  Pizza e Cucina,Gramercy / Flatiron
Zengo - NYC,Midtown East
Fine & Rare,Murray Hill
Bagatelle - NY,Meatpacking District
Periyali,Gramercy / Flatiron
David Burke Tavern,Upper East Side
Strip House Midtown,Midtown West
Farmer & The Fish - Gramercy,Gramercy / Flatiron
.Tarallucci e Vino Upper West Side,Upper West Side
Bann Restaurant,Midtown West
The Flatiron Room,Gramercy / Flatiron
Maloney & Porcelli,Midtown East
Le Coq Rico,Gramercy / Flatiron
Pera Mediterranean Brasserie,Midtown East
Brasserie Ruhlmann,Rockefeller Center Midtown
Etcetera Etcetera,Hell's Kitchen
Socarrat Paella Bar - Midtown East,Midtown East
Socarrat Paella Bar - Chelsea,Chelsea
Felice 64 Wine Bar,Upper East Side
Chazz Palminteri Italian Restaurant,Theater District / Times Square
Todd English at The Plaza Food Hall,Midtown West
Rock Center Cafe,Rockefeller Center Midtown
Rahi,West Village
Cipriani - Dolci,Midtown East
Perrine,Upper East Side
Aretsky's Patroon,Midtown East
Neta,West Village
Café Centro,Midtown East
The Sea Grill,Rockefeller Center Midtown
Morton's The Steakhouse - Midtown Manhattan,Midtown East
Davio's - Manhattan,Midtown East
Hanjan,Chelsea
Le Colonial NYC,Midtown East
High Street on Hudson,West Village
Society Cafe,Greenwich Village
Bistro Pierre Lapin,West Village
Bedford & Co.,Midtown East
Ted's Montana Grill - NYC,Midtown West
The House in Gramercy Park,Gramercy / Flatiron
Inakaya,Theater District / Times Square
American Cut Steakhouse Midtown,Midtown East
Pampano New York,Midtown East
Shun Lee Palace,Midtown East
Feast,East Village
Bocca,Gramercy / Flatiron
Rossini's Restaurant,Murray Hill
Il Mulino Prime - Gramercy,Gramercy / Flatiron
Irvington,Union Square
Nick & Stef’s Steakhouse - New York,Midtown West
Barbetta Restaurant,Theater District / Times Square
Clement,Midtown West
Standard Grill,Meatpacking District
Dos Caminos – Meatpacking,Meatpacking District
Docks Oyster Bar and Seafood Grill,Murray Hill
The Cecil Steakhouse,Harlem
Empire Steak House- East,Midtown East
Osteria 57,Greenwich Village
Empire Steakhouse - 237 West 54 Street off of Broadway,Midtown West
Tarallucci e Vino NoMad,NoMad
Trattoria Italienne,Gramercy / Flatiron
Suzuki,Theater District / Times Square
Sofrito NYC,Harlem
.Tarallucci e Vino Union Square,Union Square
Gaby Brasserie Française,Midtown West
Bocca Di Bacco (Chelsea - 20th St.),Chelsea
Merakia,Gramercy / Flatiron
Giorgio's of Gramercy,Gramercy / Flatiron
Delmonico's Kitchen,Theater District / Times Square
Bobby Van's Grill Times Square,Midtown West
Tender Restaurant,Midtown West
Jue Lan Club,Gramercy / Flatiron
Altesi Ristorante,Upper East Side
Leonelli Taberna,Gramercy / Flatiron
Astor Court,Midtown East
STATE Grill and Bar,Midtown East
Haru Hell's Kitchen,Hell's Kitchen
The Shakespeare,Midtown East
Kingside,Midtown West
La Fonda Del Sol,Midtown East
Amma,Midtown East
Frankie & Johnnie's Steakhouse - Manhattan,Midtown West
Ben and Jack's Steakhouse 44th Street,Midtown East
Il Postino,Midtown East
Bread & Tulips,Gramercy / Flatiron
Vandal,Lower East Side
Bob's Steak & Chop House - New York,Midtown East
Blenheim,West Village
Montebello Ristorante Italiano,Midtown East
1 Darbar,Midtown East
Meet the Meat,Astoria
Cafe Clover,West Village
Nobu Downtown | Restaurant,Financial District
2 Darbar Grill,Midtown East
Junoon Main Dining Room,Gramercy / Flatiron
Left Bank NYC,West Village
Beauty & Essex- New York,Lower East Side
Mercer Kitchen,SoHo
The Dutch,SoHo
Lafayette,NoHo
Bar Primi,Lower East Side
Lupa,Greenwich Village
Boucherie - West Village,West Village
Lure New York,SoHo
Indochine,NoHo
Hearth,East Village
The Loyal,West Village
Sant Ambroeus SoHo,SoHo
Tamarind - Tribeca,TriBeCa - Downtown
El Vez New York,Battery Park
Pig and Khao,Lower East Side
Sarabeth's TriBeCa,TriBeCa - Downtown
MAMO Restaurant,SoHo
Leuca,Williamsburg
Bâtard,TriBeCa - Downtown
Il Mulino New York - Downtown,Greenwich Village
BAAR BAAR,East Village
The Bombay Bread Bar,SoHo
Little Park,TriBeCa - Downtown
Narcissa Restaurant,East Village
MR CHOW - TriBeca,TriBeCa - Downtown
Essex,Lower East Side
Pera Soho,SoHo
Tribeca Grill,TriBeCa - Downtown
Delmonico's,Financial District
Dos Caminos - SoHo,SoHo
Gran Morsi,TriBeCa - Downtown
Toloache Thompson St.,Greenwich Village
Temple Court,Financial District
Temple Court,Financial District
Khe-Yo,TriBeCa - Downtown
The Osprey,DUMBO / Vinegar Hill
SAN CARLO  Osteria Piemonte,SoHo
Osteria della Pace - Eataly NYC Downtown,Financial District
Il Mulino New York - Tribeca,TriBeCa - Downtown
La Loteria,West Village
Porsena,East Village
Il Mulino Prime - SoHo,SoHo
Fonda - East Village,East Village
10 Corso Como - New York,South Street Seaport
The Woo,SoHo
Socarrat Paella Bar - Nolita,NoLita
Antica Pesa,Williamsburg
American Cut Steakhouse,TriBeCa - Downtown
The Palm Tribeca,TriBeCa - Downtown
La Sirene,SoHo
CUT By Wolfgang Puck at FS Downtown New York,TriBeCa - Downtown
The Capital Grille - NY- Wall Street,Financial District
Felice 15 Gold Street,Financial District
Rosa Mexicano - TriBeCa,TriBeCa - Downtown
Barano,Williamsburg
Frankie and Johnnie's Steakhouse - 46th Street,Midtown West
The Wright,Upper East Side
Henry at Life Hotel,NoMad
Strip House Speakeasy,Union Square
The Morgan Dining Room,Murray Hill
The Library at the Public,NoHo
Cipriani - Wall Street,Financial District
Tarallucci e Vino East Village,East Village
Thalassa,TriBeCa - Downtown
Limani,Roslyn
Schilling,TriBeCa - Downtown
Altesi Downtown,SoHo
Harold's,SoHo
Benchmark Restaurant,Park Slope
Bellini,Financial District
Bellini,Financial District
Bistrot Leo,SoHo
MarkJoseph Steakhouse,Financial District
ATRIO Wine Bar & Restaurant,Battery Park
Nonna Beppa,TriBeCa - Downtown
The Tuck Room- New York,South Street Seaport
Morton's The Steakhouse - World Trade Center,Financial District
Joseph's Restaurant,Financial District
2 West at The Wagner Hotel,Battery Park
Greenhouse Cafe,Bay Ridge
"Lorenzo's Restaurant, Bar & Caberet - Hilton Garden Inn - SI",Staten Island
Soogil,East Village
Senya,Lower East Side
Yellow Magnolia Café,Prospect Heights
Stella Trattoria & Bar,Blue Point
