restaurant_name,percent_recommend
STK - NYC - Midtown,84
Tavern on the Green,91
Lido,97
Becco,88
Catch New York,84
Tao Uptown,85
Tao Downtown,92
Serra by Birreria,70
Red Rooster Harlem,91
Del Frisco's Double Eagle Steakhouse - New York City,91
FIG & OLIVE Fifth Avenue,88
Sarabeth's West,85
Rosa Mexicano by Lincoln Center,90
Bar Boulud,88
Boulud Sud,93
Café Boulud,90
ilili,91
JoJo,88
Atlantic Grill Near Lincoln Center,91
La Pecora Bianca - Midtown,90
Toloache-Midtown,90
Lincoln Ristorante,92
The View Restaurant,87
Ocean Prime - New York,95
The Palm Court at The Plaza Hotel,81
La Pecora Bianca - NoMad,93
Scarpetta,77
Zuma Japanese Restaurant - NY,75
Blue Fin - New York,86
Hakkasan - New York,85
Park Avenue Summer,91
Empellon Midtown,84
'Cesca,82
Butter Midtown,83
LAVO Italian Restaurant,90
Morandi,85
Orsay,90
Philippe Chow - Uptown,87
La Masseria,91
Barbounia,89
Morimoto New York,90
The Wayfarer,89
Casa Lever,93
Victor's Café,90
db Bistro moderne,88
Claudette,92
Jams - NYC,81
Smith & Wollensky - New York,81
FIG & OLIVE Meatpacking,91
Oxbow Tavern,84
Smoke Jazz and Supper Club,89
Danji,93
21 Club,95
Molyvos,88
Lexington Brass,93
Il Mulino New York - Uptown,85
Ousia,88
Dos Caminos - Times Square,73
T-BAR Steak & Lounge (Upper East Side),95
Sarabeth's Park Avenue South,83
Masseria dei Vini,95
Kellari Taverna,90
Burke & Wills,94
Marseille,94
L'adresse,95
Bocca di Bacco (Hell's Kitchen - 54th St.),91
Kyma - Flatiron,94
The Capital Grille - NY - Rockefeller Center,96
Tommy Bahama - New York,93
BLACKBARN Restaurant - NoMad,79
La Sirene UWS,88
GAONNURI,90
Rosa Mexicano - Union Square,87
Obao,84
Obao,84
Almond,92
Ai Fiori,91
Cafe d'Alsace,93
Hunt & Fish Club NYC,90
Rosa Mexicano - First Avenue,90
Lattanzi,88
Glass House Tavern,89
The Whitby Bar and Restaurant,94
La Goulue,91
FIG & OLIVE Uptown,80
Empellon Taqueria,80
MR CHOW - 57th,77
Bocca Di Bacco (Theatre District - 45th St.),90
The Capital Grille - NY – Chrysler Center,98
Bobo Restaurant,97
