restaurant_name,average_review,food_review,service_review,ambience_review,value_review
STK - NYC - Midtown,4.5267800000000005,4.5,4.2,4.5,3.8
Tavern on the Green,4.6702900000000005,4.4,4.4,4.7,4.0
Lido,4.51047,4.5,4.5,4.4,4.3
Becco,4.418139,4.4,4.4,4.1,4.3
Catch New York,4.5483,4.6,4.2,4.4,4.0
Tao Uptown,4.6106,4.5,4.4,4.6,4.1
Tao Downtown,4.62291,4.5,4.3,4.7,4.1
Serra by Birreria,4.21296,4.0,3.7,4.4,3.5
Red Rooster Harlem,4.45682,4.4,4.2,4.4,4.0
Del Frisco's Double Eagle Steakhouse - New York City,,,,,
FIG & OLIVE Fifth Avenue,4.57186,4.5,4.3,4.2,4.0
Sarabeth's West,4.51471,4.4,4.3,4.1,3.8
Rosa Mexicano by Lincoln Center,4.46215,4.3,4.2,4.2,4.0
Bar Boulud,4.46814,4.4,4.3,4.1,3.9
Boulud Sud,4.64853,4.6,4.5,4.4,4.1
Café Boulud,4.65194,4.5,4.5,4.5,4.0
ilili,4.6498099999999996,4.7,4.4,4.4,4.0
JoJo,,,,,
Atlantic Grill Near Lincoln Center,4.452459999999999,4.3,4.2,4.2,3.9
La Pecora Bianca - Midtown,4.5288,4.4,4.1,4.4,4.0
Toloache-Midtown,4.55178,4.5,4.4,4.1,4.0
Lincoln Ristorante,4.64697,4.6,4.6,4.7,4.0
The View Restaurant,4.310389,4.2,4.4,4.5,3.7
Ocean Prime - New York,4.71701,4.7,4.6,4.6,4.2
The Palm Court at The Plaza Hotel,,,,,
La Pecora Bianca - NoMad,4.6911,4.5,4.3,4.5,4.2
Scarpetta,4.6382900000000005,4.6,4.5,4.6,4.0
Zuma Japanese Restaurant - NY,4.7678,4.6,4.4,4.6,4.1
Blue Fin - New York,4.3655800000000005,4.4,4.3,4.2,3.8
Hakkasan - New York,4.6249199999999995,4.6,4.4,4.5,4.0
Park Avenue Summer,,,,,
Empellon Midtown,4.6502,4.5,4.5,4.4,3.8
'Cesca,4.12749,4.1,3.8,4.1,3.7
Butter Midtown,4.23135,4.2,4.1,4.3,3.7
LAVO Italian Restaurant,,,,,
Morandi,,,,,
Orsay,4.5189900000000005,4.3,4.3,4.4,3.9
Philippe Chow - Uptown,,,,,
La Masseria,4.63664,4.7,4.6,4.5,4.2
Barbounia,4.62279,4.5,4.3,4.4,4.1
Morimoto New York,4.65894,4.6,4.5,4.6,4.0
