,restaurant_name,borough,building_num,street,zip_code,phone_num,inspection_score,grade
0,#1 Chinese Restaurant,Manhattan,825,W 181ST ST,10033,(212)740-3188,35.04545454545455,C
1,#1 Garden Chinese Restaurant,Brooklyn,221,PROSPECT PARK W,11215,(917)250-8950,20.642857142857142,B
2,#1 Natural Juice Bar,Queens,685,SENECA AVE,11385,(347)956-5161,10.25,A
3,#1 Sabor Latino Restaurant,Bronx,4120,WHITE PLAINS ROAD,10466,(718)653-2222,25.53125,B
4,$ 1 Slice Pizza,Bronx,3414,JEROME AVE,10467,(347)993-0598,28.238095238095237,C
5,$1 Pizza,Manhattan,832,6TH AVE,10001,(917)587-8888,15.0,B
6,$1.25 Pizza,Brooklyn,1276,FULTON ST,11216,(718)638-4685,17.68,B
7,$5 To $9 Restaurant,Brooklyn,7026,3RD AVE,11209,(646)764-1286,12.571428571428571,A
8,& Pizza,Manhattan,15,W 28TH ST,10001,(212)779-0185,13.428571428571429,A
9,& Pizza,Manhattan,740,BROADWAY,10003,(212)777-2042,11.545454545454545,A
11,'Cesca,Manhattan,166,W 75TH ST,10023,(212)758-6300,27.454545454545453,C
12,'Essen,Manhattan,290,MADISON AVE,10017,(212)689-0800,24.666666666666668,B
13,'Ritas,Manhattan,756,9TH AVE,10019,(212)974-2003,9.25,A
14,'Wichcraft,Manhattan,1407,BROADWAY,10018,(718)450-0886,15.636363636363637,B
15,(Lewis Drug Store) Locanda Vini E Olii,Brooklyn,129,GATES AVENUE,11238,(718)622-9202,9.0,A
16,1 2 3 Burger Shot Beer,Manhattan,738,10 AVENUE,10019,(212)315-0123,10.692307692307692,A
17,1 Banana Queen,Bronx,6,EAST MT EDEN AVENUE,10452,(718)731-0039,16.2,B
18,1 Darbar,Manhattan,152,EAST   46 STREET,10017,(212)681-4500,15.6875,B
20,1 East 66Th Street Kitchen,Manhattan,1,EAST   66 STREET,10065,(212)879-3900,7.833333333333333,A
21,1 Hotel Brooklyn Bridge,Brooklyn,90,FURMAN ST,11201,(347)696-2500,11.0,A
22,1 Hotel Employee Dining Kitchen #36,Brooklyn,60,FURMAN ST,11201,(347)696-2500,16.727272727272727,B
23,1 Oak,Manhattan,453,WEST   17 STREET,10011,(212)242-1111,19.692307692307693,B
24,1 Or 8,Brooklyn,66,SOUTH    2 STREET,11249,(718)384-2152,17.235294117647058,B
25,1 Quetzal,Brooklyn,7210,NEW UTRECHT AVE,11228,(929)666-9989,14.5,B
26,1 Stop Patty Shop,Manhattan,1708,AMSTERDAM AVENUE,10031,(212)491-7466,22.0,B
27,1 Taste Of India,Queens,13508,LIBERTY AVE,11419,(718)880-1224,6.5,A
28,1.5 Dak Galbi,Queens,15803,NORTHERN BLVD,11358,(917)285-2772,20.1875,B
29,10 02 Lounge And Restaurant,Bronx,806,E TREMONT AVE,10460,(917)617-2812,15.5,B
30,10 Below Ice Cream,Manhattan,10,MOTT ST,10013,(347)879-5161,13.944444444444445,A
31,10 Corso Como,Manhattan,1,FULTON ST,10038,(212)265-9500,10.0,A
32,100% Mr Lin,Brooklyn,445,GOLD ST,11201,(917)578-7200,12.0,A
33,1001 Nights Cafe,Staten Island,2025,RICHMOND AVENUE,10314,(718)370-8080,5.0,A
34,101 Cafe,Queens,9805,101 AVENUE,11416,(718)848-2233,12.454545454545455,A
35,101 Deli,Queens,10016,ROCKAWAY BEACH BOULEVARD,11694,(718)634-1121,15.4,B
36,101 Kennedy Fried Chicken,Queens,10815,101ST AVE,11419,(929)398-4053,26.285714285714285,B
37,101 Meat Shop,Queens,11601,101ST AVE,11419,(718)441-9333,31.0,C
38,101 Meat Shop Ii,Queens,24123,BRADDOCK AVE,11426,(917)642-2778,21.142857142857142,B
39,101 Wilson Bar,Brooklyn,101,WILSON AVE,11237,(650)283-2056,20.666666666666668,B
40,101Brooklyn Disco Bar,Brooklyn,134,METROPOLITAN AVE,11249,(718)388-7000,21.0,B
41,1020 Bar,Manhattan,1020,AMSTERDAM AVENUE,10025,(212)531-3468,16.210526315789473,B
42,104-01 Foster Avenue Coffee Shop(Ups),Brooklyn,10401,FOSTER AVENUE,11236,(718)270-7879,11.0,A
43,107 West Restaurant,Manhattan,2787,BROADWAY,10025,(212)864-1555,45.42857142857143,C
44,108 Double Chinese Restaurant,Queens,5316,108TH ST,11368,(718)760-1021,10.7,A
45,108 Food Dried Hot Pot,Manhattan,2794,BROADWAY,10025,(917)675-6878,9.25,A
46,1080 Brew,Queens,1080,WYCKOFF AVE,11385,(347)484-9220,29.176470588235293,C
47,10Below Ice Cream,Queens,13620,38TH AVE,11354,(347)879-5161,18.666666666666668,B
49,10Th Avenue Cookshop,Manhattan,156,10 AVENUE,10011,(212)924-4440,17.12,B
50,10Th Avenue Pizza & Cafe,Manhattan,256,10TH AVE BET 24 & 25 ST ),10001,(212)366-9222,11.266666666666667,A
51,10Th Floor Lounge,Brooklyn,60,FURMAN ST,11201,(347)696-2500,14.1,B
52,11 Hanover Greek,Manhattan,11,HANOVER SQ,10005,(212)785-4000,36.09090909090909,C
53,11 Howard Kitchen,Manhattan,138,LAFAYETTE ST,10013,(646)937-1256,4.75,A
54,11 Street Cafe,Manhattan,327,WEST   11 STREET,10014,(646)692-4455,18.4,B
55,110 Kennedy Fried Chicken,Staten Island,110,VICTORY BLVD,10301,(347)400-7607,16.0,B
56,118 Kitchen,Manhattan,1,E 118TH ST,10035,(212)722-6888,16.46153846153846,B
57,11Th St Bar,Manhattan,510,E 11TH ST,10009,(212)982-3929,18.8,B
58,12 Chairs,Manhattan,56,MACDOUGAL STREET,10012,(212)254-8640,18.87878787878788,B
59,12 Chairs Cafe,Brooklyn,342,WYTHE AVE,11249,(347)227-7077,26.305555555555557,B
60,12 Corazones Restaurant & Bar,Queens,8622,ROOSEVELT AVENUE,11372,(718)205-5575,20.57894736842105,B
61,12 Corners Coffee,Manhattan,121,MOTT ST,10013,(212)625-8888,19.0,B
62,120 Bay Cafe,Staten Island,120,BAY STREET,10301,(718)273-7770,24.583333333333332,B
63,123 Burger Shot Beer,Manhattan,712,W 125TH ST,10027,(646)850-0193,7.0,A
64,123 Nikko,Manhattan,1280,AMSTERDAM AVENUE,10027,(212)531-1288,32.166666666666664,C
65,124 Cafe,Manhattan,53,E 124TH ST,10035,(646)589-5292,24.4,B
66,129 Gourmet Deli & Grocery,Manhattan,129,E 45TH ST,10017,(212)697-4797,28.318181818181817,C
67,12Th St. Ale House,Manhattan,192,2ND AVE,10003,(212)253-2323,12.0,A
68,13106 Grand Evergreen Chinese Restaurant,Queens,13106,ROCKAWAY BLVD,11420,(718)659-3948,20.466666666666665,B
69,14 Old Fulton Street,Brooklyn,14,OLD FULTON ST,11201,(347)889-5392,2.0,A
70,141 El Kucho Mexican Restaurant,Brooklyn,141,WILSON AVE,11237,(917)966-5124,9.6,A
71,146 No. 1 Yummy Taco,Queens,14615,ROCKAWAY BLVD,11436,(718)848-1288,6.0,A
72,15 East Restaurant,Manhattan,15,EAST   15 STREET,10003,(212)647-9915,20.4,B
73,15 Flavors,Bronx,1763,CROSBY AVE,10461,(718)676-1092,7.0,A
75,15 Stories,Manhattan,444,PARK AVE S,10016,(212)804-8880,12.166666666666666,A
77,16 Handles,Brooklyn,139,North 7th Street,11249,(212)260-4416,12.0,A
78,16 Handles,Manhattan,1000S,8TH AVE,10019,(212)664-9608,6.5,A
79,16 Handles,Manhattan,1161,1ST AVE,10065,(646)707-3424,9.285714285714286,A
80,16 Handles,Manhattan,153,2 AVENUE,10003,(212)260-4414,12.2,A
81,16 Handles,Manhattan,1569,2 AVENUE,10028,(646)863-2522,15.142857142857142,B
82,16 Handles,Manhattan,178,8 AVENUE,10011,(212)627-2808,17.72222222222222,B
83,16 Handles,Manhattan,2600,BROADWAY,10025,(646)422-7022,18.470588235294116,B
84,16 Handles,Manhattan,325,AMSTERDAM AVENUE,10023,(646)861-1281,12.615384615384615,A
85,16 Handles,Manhattan,400,AUDUBON AVE,10033,(917)472-7874,12.0,A
86,16 Handles,Manhattan,428,3RD AVE,10016,(212)213-1755,10.0,A
87,161 Hot Pot Rice,Queens,13335,ROOSEVELT AVE,11354,(646)262-0928,19.26086956521739,B
88,168 Hi Tea,Queens,16711,UNION TURNPIKE,11366,(718)380-1369,17.25,B
89,169 Bar,Manhattan,169,EAST BROADWAY,10002,(917)577-2077,27.52173913043478,C
90,16Th Avenue Glatt,Brooklyn,4619,16 AVENUE,11204,(718)871-5254,8.363636363636363,A
91,173 Webster Cafe,Bronx,1692,WEBSTER AVE,10457,(718)618-0832,21.4,B
92,18 Bakery,Brooklyn,6820,18 AVENUE,11204,(718)259-5399,24.72093023255814,B
93,18 East Gunhill Pizza,Bronx,18,E GUN HILL RD,10467,(718)405-7088,8.5,A
94,18 Hipot,Brooklyn,8204,18TH AVE,11214,(917)933-4888,27.95,C
95,18 Restaurant,Manhattan,240,EAST   81 STREET,10028,(212)517-2400,17.38095238095238,B
96,18 Stars Kitchen,Brooklyn,8515,18TH AVE,11214,(718)256-0218,20.923076923076923,B
97,18 Vietnam Noodle,Brooklyn,7116,18TH AVE,11204,(347)374-6633,8.0,A
98,1803,Manhattan,78,READE ST,10007,(212)267-3000,33.310344827586206,C
99,1847 International,Staten Island,639,BAY ST,10304,(718)524-4810,28.5,C
100,1893 Sports Bar,Bronx,1,EAST  161 STREET,10451,(917)284-3260,5.5,A
102,19 Cafe,Brooklyn,84,MANHATTAN AVE,11206,(718)387-8777,27.074074074074073,C
103,191 Knickerbocker Avenue,Brooklyn,191,KNICKERBOCKER AVE,11237,(929)305-3625,29.375,C
104,192 Restaurant & Bar,Queens,19202,NORTHERN BLVD,11358,(718)225-4200,22.416666666666668,B
105,1976,Queens,20103,LINDEN BLVD,11412,(646)594-9646,8.75,A
106,1982 Coffee Roasters,Brooklyn,5403,13TH AVE,11219,(917)620-0907,11.0,A
107,1St Ave Gourmet,Manhattan,1274,1ST AVE,10065,(212)472-8480,22.4,B
108,1St Mama Restaurant,Bronx,8,W TREMONT AVE,10453,(718)209-3208,17.916666666666668,B
109,2 Bro'S Pizza,Manhattan,601,6TH AVE,10011,(212)239-1117,11.307692307692308,A
110,2 Bros Pizza,Bronx,207,E FORDHAM RD,10458,(917)859-3324,20.0,B
111,2 Bros Pizza,Brooklyn,395,FLATBUSH AVENUE EXTENSION,11201,(718)797-0336,11.23076923076923,A
112,2 Bros Pizza,Manhattan,113,E 125TH ST,10035,(212)239-1117,29.324324324324323,C
113,2 Bros Pizza,Manhattan,31,W 46TH ST,10036,(917)374-9161,9.0,A
114,2 Bros Pizza,Manhattan,32,ST MARKS PLACE,10003,(212)777-0600,10.636363636363637,A
115,2 Bros Pizza,Manhattan,557,8TH AVE,10018,(917)587-8888,10.75,A
116,2 Bros Pizza,Manhattan,755,6TH AVE,10010,(212)239-1117,14.941176470588236,B
117,2 Bros Pizza/ Corvo Coffee,Manhattan,542,9 AVENUE,10018,(212)695-2642,19.620689655172413,B
118,2 Good Deli Grill,Bronx,1103A,CASTLE HILL AVE,10472,(718)281-9009,36.111111111111114,C
119,2 In 1 Restaurant,Brooklyn,2108,FLATBUSH AVENUE,11234,(718)338-0688,13.636363636363637,A
120,2 In 1 Restaurant Ny,Brooklyn,2108,FLATBUSH AVE,11234,(718)338-0688,43.0,C
121,2 Palmitas Mexican Deli,Queens,10915,JAMAICA AVENUE,11418,(718)849-1108,15.736842105263158,B
122,200 Fifth Avenue Restaurant & Sports Bar,Brooklyn,200,5 AVENUE,11217,(718)638-2925,26.428571428571427,B
123,200 Gram Noodles,Queens,3626,UNION ST,11354,(347)732-4419,13.666666666666666,A
124,207 Bakery & Coffee Shop,Manhattan,588,W 207TH ST,10034,(347)600-1126,30.444444444444443,C
125,21 Bar,Manhattan,4318,BROADWAY,10033,(917)975-2690,12.777777777777779,A
126,21 Berry Deli,Manhattan,922,BROADWAY,10010,(212)353-8540,15.571428571428571,B
127,21 Club,Manhattan,21,WEST   52 STREET,10019,(212)582-7200,12.375,A
128,21 Greenpoint,Brooklyn,21,GREENPOINT AVE,11222,(718)383-8833,32.0,C
129,21 Home'S Kitchen,Manhattan,22,EAST   21 STREET,10010,(212)475-5049,18.5625,B
130,212 Hisae'S,Manhattan,212,EAST 9 STREET,10003,(212)614-3226,24.48,B
131,212 Steakhouse,Manhattan,316,E 53RD ST,10022,(212)858-0646,19.58823529411765,B
132,2123 Fresh Tortillas,Bronx,2123,WILLIAMSBRIDGE RD,10461,(718)319-1208,19.25,B
133,21St Lic Deli & Grocery,Queens,4344,21ST ST,11101,(516)667-3606,21.857142857142858,B
134,22 Str Concession Stand,Brooklyn,3052-3078,W 21ST ST,11224,(917)304-9069,4.8,A
135,22 Thai Cuisine,Manhattan,59,NASSAU ST,10038,(212)732-9250,9.4,A
137,224Th Corner Restaurant & Bakery,Bronx,707,e 224 st,10466,(718)652-2878,15.428571428571429,B
138,229 Linden Restaurant,Queens,22902,LINDEN BLVD,11411,(718)276-4619,11.5,A
140,230 Fifth,Manhattan,230,FIFTH AVENUE,10001,(212)725-4300,21.217391304347824,B
141,234 China City,Brooklyn,234,KINGS HIGHWAY,11223,(718)714-4272,10.818181818181818,A
142,2419 China Star Restaurant,Brooklyn,2419,FOSTER AVE,11210,(718)282-6688,11.25,A
143,241St Cafe Restaurant,Bronx,4703,WHITE PLAINS RD,10470,(718)324-4924,15.692307692307692,B
144,242 Cafe Bakery,Manhattan,242,CANAL STREET,10013,(212)343-2505,33.013888888888886,C
145,2522 Mombar,Queens,2522,STEINWAY ST,11103,(718)726-2356,11.333333333333334,A
146,25Th Deli,Queens,4819,25 AVENUE,11103,(718)274-5040,7.166666666666667,A
147,27 Morton,Manhattan,27,MORTON ST,10014,(212)929-4339,13.0,A
148,27 Sports Bar & Cafe,Bronx,2,WEST MOUNT EDEN AVENUE,10452,(718)731-3585,22.346153846153847,B
149,272 Uptown Pizza,Manhattan,272,W 135TH ST,10030,(212)283-7021,12.0,A
150,28 Ming'S Caffe,Manhattan,28,CANAL ST,10002,(212)978-1888,12.363636363636363,A
151,290 Wild Bar,Staten Island,290,WILD AVE,10314,(718)698-8811,25.285714285714285,B
152,29B,Manhattan,29,AVENUE B,10009,(646)634-1770,10.0,A
153,2A,Manhattan,25,AVENUE A,10009,(212)505-2466,14.0,B
154,2Nd Ave Deli,Manhattan,162,EAST 33 STREET,10016,(212)689-9000,10.857142857142858,A
155,2Nd Avenue Deli,Manhattan,1442,1 AVENUE,10021,(212)737-1700,8.0,A
156,3 Alarm Deli,Queens,4515,28TH AVE,11103,(718)721-4155,19.77777777777778,B
157,3 Bros 99 Cent Pizza,Queens,2503,30TH AVE,11102,(718)777-7133,27.15,C
158,3 Bros 99 Cent Pizza,Queens,2589,STEINWAY ST,11103,(929)278-9914,36.23809523809524,C
159,3 Bros 99C Pizza,Bronx,5,W FORDHAM RD,10468,(646)338-1014,6.5,A
160,3 Coffee,Queens,3027,STEINWAY ST,11103,(347)265-8602,9.0,A
161,3 D'S Delight Restaurant & Bakery,Brooklyn,771,WASHINGTON AVE,11238,(347)954-8596,16.285714285714285,B
162,3 D'S Legacy Salad & Grill,Bronx,445,MORRIS PARK AVENUE,10460,(347)657-0910,22.566666666666666,B
163,3 Deli & Grill,Manhattan,133,EAST   55 STREET,10022,(212)486-3272,10.818181818181818,A
164,3 Greeks Grill,Queens,3561,VERNON BLVD,11106,(718)729-8900,9.0,A
165,3 Guys,Manhattan,1381,MADISON AVENUE,10029,(212)348-3800,14.214285714285714,B
166,3 Guys Gyro,Brooklyn,129,GRAHAM AVE,11206,(929)337-6111,16.0,B
167,3 Guys Sushi,Staten Island,530,FOREST AVE,10310,(718)447-0088,21.318181818181817,B
168,3 In 1 Fs&H Jamaican Restaurant,Queens,14412,243RD ST,11422,(347)632-0767,23.4,B
169,3 In 1 Kitchen,Brooklyn,4902,FORT HAMILTON PKWY,11219,(718)437-7744,16.4375,B
171,3 Meals West Indian Restaurant,Brooklyn,1643,SAINT JOHNS PL,11233,(347)240-6066,13.0,A
172,3 Roots,Brooklyn,159,FRANKLIN STREET,11222,(718)389-2468,11.285714285714286,A
173,3 Sheets Saloon,Manhattan,134,WEST    3 STREET,10012,(212)777-1733,9.0,A
174,3 Sisters' & Shanta'S Restaurant & Bakery,Queens,10704,LIBERTY AVENUE,11417,(718)845-3570,26.69047619047619,B
175,3 Star Juice Center,Brooklyn,482,UTICA AVENUE,11203,(718)493-0099,11.0,A
176,3 Way Restaurant,Bronx,384,EAST  188 STREET,10458,(718)295-9595,14.4375,B
177,3-J Restaurant And Pizza,Bronx,554A,PROSPECT AVE,10455,(347)346-1381,27.05128205128205,C
178,301 Chinese Restaurant,Queens,8603,ROCKAWAY BEACH BLVD,11693,(718)318-7800,14.133333333333333,B
179,302 Bar,Brooklyn,302,IRVING AVENUE,11237,(347)299-5061,15.461538461538462,B
180,303 Golden Star Kitchen,Brooklyn,303,SCHENECTADY AVE,11213,(718)363-8886,26.25,B
181,310 Bowery Bar,Manhattan,310,BOWERY,10012,(212)477-1166,6.6,A
182,321 Ice Cream Shop,Brooklyn,288,GRAND ST,11211,(917)667-3280,3.3333333333333335,A
183,32Nd Deli,Manhattan,44,E 32ND ST,10016,(718)730-5025,33.0,C
184,33,Brooklyn,33,LAFAYETTE AVE,11217,(917)987-4073,11.785714285714286,A
185,33 Gourmet,Manhattan,157,WEST   33 STREET,10001,(212)904-1351,21.735294117647058,B
186,333 Lounge,Brooklyn,333,FLATBUSH AVE,11217,(917)609-8864,12.066666666666666,A
187,34Th Bagels And More,Manhattan,365,W 34TH ST,10001,(646)238-4868,6.333333333333333,A
188,375 Thrice Cooked Fries,Manhattan,124,LUDLOW ST,10002,(646)682-7578,29.75,C
189,38 Deli,Brooklyn,968,58 STREET,11219,(718)790-3143,17.307692307692307,B
190,388 Cafe & Deli,Manhattan,1-3,ELDRIDGE STREET,10002,(212)219-1318,9.285714285714286,A
191,39 Fantastic Bar,Brooklyn,3914,8TH AVE,11232,(929)367-6668,10.8,A
192,39 Kings,Queens,3907,PRINCE ST,11354,(718)939-3330,34.15625,C
193,39 Taco House,Brooklyn,3922,9TH AVE,11232,(718)851-0880,12.2,A
194,3D'S Delight Bakery & Restaurant,Brooklyn,1377,E NEW YORK AVE,11212,(718)975-1121,11.2,A
195,3Rd Floor Coffee Bar,Manhattan,200,WEST ST,10282,(646)446-5150,3.75,A
196,3Rd & 7,Brooklyn,3622,QUENTIN RD,11234,(718)336-6300,20.0,B
197,4 Amores (Entrance Is On Whitney Ave),Queens,9310,ROOSEVELT AVE,11373,(718)205-7918,31.545454545454547,C
198,4 Charles Rib Prime Rib,Manhattan,4,CHARLES ST,10014,(312)718-3209,14.333333333333334,B
199,4 Healthy Minds,Queens,22619,MERRICK BLVD,11413,(646)709-5684,12.0,A
200,4 Squared Flavors,Queens,4512,GREENPOINT AVE,11104,(929)434-2823,44.642857142857146,C
201,40/40 Club,Manhattan,6,WEST   25 STREET,10010,(212)832-4040,19.181818181818183,B
202,401 Lucky Star Restaurant,Brooklyn,401,MOTHER GASTON BLVD,11212,(718)485-2633,12.133333333333333,A
203,414 Hotel,Manhattan,414,W 46TH ST,10036,(212)399-0006,17.2,B
205,420 No.1 Chinese Food,Brooklyn,420,DITMAS AVE,11218,(718)414-0917,36.81481481481482,C
206,42Nd Street Pizza Diner,Manhattan,647,WEST   42 STREET,10036,(212)594-4312,7.8,A
207,44 & X Hell'S Kitchen,Manhattan,622,10 AVENUE,10036,(212)977-1170,12.5,A
208,456 New Shanghai Restaurant,Manhattan,69,MOTT ST,10013,(917)256-9153,18.875,B
209,4618 Bakery,Brooklyn,4618,8 AVENUE,11220,(718)438-4820,12.333333333333334,A
210,482 Joy Garden,Brooklyn,482,RIVERDALE AVE,11207,(718)385-3388,8.8,A
211,4O Knots,Brooklyn,200,COLUMBIA STREET,11231,(917)770-1984,13.75,A
212,4Th Down,Brooklyn,750,GRAND ST,11211,(917)744-6522,20.181818181818183,B
213,4Th Floor Cafe,Manhattan,221,EAST 71ST STREET,10021,(212)517-0586,13.3,A
214,5 Avenida Tacos California,Brooklyn,4616,5TH AVE,11220,(718)439-1661,9.0,A
215,5 Boro Burger,Manhattan,80,WEST   36 STREET,10018,(212)564-2211,16.58823529411765,B
216,5 Burro Cafe,Queens,7205,AUSTIN STREET,11375,(718)544-2984,15.15,B
217,"5 Burro Pizza, Wok To Walk, Black Burger, & Sakura Of Japan",Manhattan,570,8 AVENUE,10018,(212)398-4646,14.277777777777779,B
218,5 De Mayo,Queens,10809,53 AVENUE,11368,(718)271-5290,9.636363636363637,A
219,5 De Mayo Restaurant,Queens,10809,53RD AVE,11368,(718)271-5290,10.2,A
220,5 Estrella Bakery,Manhattan,3861,BROADWAY,10032,(212)795-5000,17.0,B
221,5 Napkin,Manhattan,1325,2ND AVE,10021,(212)249-0777,15.117647058823529,B
222,5 Napkin Burger,Manhattan,150,EAST   14 STREET,10003,(212)228-5500,10.285714285714286,A
223,5 Napkin Burger,Manhattan,2315,BROADWAY,10024,(212)333-4488,14.375,B
225,5 Star Banquet,Queens,1305,43RD AVE,11101,(718)784-8484,11.5,A
226,5 Star Cheese Steak And Pizza,Manhattan,2039,1ST AVE,10029,(212)987-1540,12.23076923076923,A
227,5 Star Village Cafe,Brooklyn,1968,CONEY ISLAND AVENUE,11223,(718)975-3373,35.67857142857143,C
228,51St Bakery And Cafe,Queens,5-33,51ST AVE,11101,(718)707-0554,22.636363636363637,B
229,520 Desserts,Queens,3636,PRINCE ST,11354,(520)788-2887,9.0,A
230,525 Lex Restaurant/M Club Lounge/Illy Cafã©,Manhattan,525,LEXINGTON AVE,10017,(212)755-4000,25.653846153846153,B
232,52Nd Sushi,Queens,5221,ROOSEVELT AVE,11377,(718)507-9204,18.789473684210527,B
233,535 Madison Cafe,Manhattan,535,MADISON AVENUE,10022,(212)308-4177,8.857142857142858,A
234,54 Below,Manhattan,254,WEST   54 STREET,10019,(646)476-3551,9.285714285714286,A
235,55 Bar,Manhattan,55,CHRISTOPHER STREET,10014,(212)929-9883,23.344827586206897,B
236,55 Thomas Cafe,Manhattan,55,THOMAS STREET,10013,(212)886-7347,15.5,B
237,561 Deli And Grocery,Manhattan,561,2ND AVE,10016,(212)684-1561,19.77777777777778,B
238,56Th & Park F&B Management Llc,Manhattan,432,PARK AVE,10022,(212)223-5412,5.0,A
239,57'S All American Grill,Queens,3345,FRANCIS LEWIS BOULEVARD,11358,(718)353-3057,16.75,B
240,575 Pub On Second,Manhattan,93,2ND AVE,10003,(917)770-3962,14.666666666666666,B
