,restaurant_name,street_address,google_map,phone
9,Del Frisco's Double Eagle Steakhouse - New York City,"1221 6th Ave, New York, NY 10020, USA",,
17,JoJo,"160 E 64th St, New York, NY 10065, USA",,
24,The Palm Court at The Plaza Hotel,"768 5th Ave, New York, NY 10019, USA",,
30,Park Avenue Summer,"360 Park Ave S, New York, NY 10010, USA",,
34,LAVO Italian Restaurant,"39 E 58th St, New York, NY 10022, USA",,
35,Morandi,"211 Waverly Pl, New York, NY 10014, USA",,
37,Philippe Chow - Uptown,"33 E 60th St, New York, NY 10065, USA",,
43,Victor's Café,"236 W 52nd St, New York, NY 10019, USA",,
49,Oxbow Tavern,"240 Columbus Ave, New York, NY 10023, USA",,
64,L'adresse,"5 Bryant Park, 1065 6th Ave, New York, NY 10018, USA",,
66,Kyma - Flatiron,"15 W 18th St, New York, NY 10011, USA",,
67,The Capital Grille - NY - Rockefeller Center,"Rockefeller Plaza, 120 W 51st St, New York, NY 10020, USA",,
69,BLACKBARN Restaurant - NoMad,"19 E 26th St, New York, NY 10010, USA",,
70,La Sirene UWS,"416 Amsterdam Ave, New York, NY 10024, USA",,
80,Lattanzi,"361 W 46th St, New York, NY 10036, USA",,
83,La Goulue,"29 E 61st St, New York, NY 10065, USA",,
99,The Ribbon - Midtown,"220 W 44th St, New York, NY 10036, USA",,
106,The Lambs Club,"132 W 44th St, New York, NY 10036, USA",,
111,Felice 83,"1593 1st Avenue, New York, NY 10028, USA",,
112,STK Rooftop,"26 Little W 12th St, New York, NY 10014, USA",,
114,Le Rivage,"340 W 46th St, New York, NY 10036, USA",,
117,Feroce,"105 W 28th St, New York, NY 10001, USA",,
120,Bluebird London NYC,"10 Columbus Cir, New York, NY 10019, USA",,
123,Boucherie - Union Square,"225 Park Ave S, New York, NY 10003, USA",,
127,Philippe Chow - Downtown,"355 W 16th St, New York, NY 10011, USA",,
128,Hudson Yards Grill,"The Shops and Restaurants at Hudson Yards, Fourth Floor, New York, NY 10001, USA",,
130,Woodpecker by David Burke,"30 W 30th St, New York, NY 10001, USA",,
131,Casa Mono,"52 Irving Pl, New York, NY 10003, USA",,
138,Brasserie Cognac East,"963 Lexington Ave, New York, NY 10021, USA",,
142,Naples 45,"200 Park Ave, New York, NY 10166, USA",,
148,Fine & Rare,"9 E 37th St, New York, NY 10016, USA",,
151,David Burke Tavern,"135 E 62nd St, New York, NY 10065, USA",,
156,The Flatiron Room,"37 W 26th St, New York, NY 10010, USA",,
166,Todd English at The Plaza Food Hall,"1 W 59th St, New York, NY 10019, USA",,
168,Rahi,"60 Greenwich Ave, New York, NY 10011, USA",,
176,Davio's - Manhattan,"447 Lexington Ave, New York, NY 10017, USA",,
181,Bistro Pierre Lapin,"99 Bank St, New York, NY 10014, USA",,
192,Il Mulino Prime - Gramercy,"43 E 20th St, New York, NY 10003, USA",,
197,Standard Grill,"848 Washington St, New York, NY 10014, USA",,
202,Osteria 57,"57 W 10th St, New York, NY 10011, USA",,
211,Merakia,"5 W 21st St, New York, NY 10010, USA",,
218,Leonelli Taberna,"7 E 27th St, New York, NY 10016, USA",,
231,Bob's Steak & Chop House - New York,"19 E 52nd St, New York, NY 10022, USA",,
236,Cafe Clover,"10 Downing St, New York, NY 10014, USA",,
237,Nobu Downtown | Restaurant,"195 Broadway, New York, NY 10007, USA",,
251,The Loyal,"289 Bleecker St, New York, NY 10014, USA",,
257,MAMO Restaurant,"323 W Broadway, New York, NY 10013, USA",,
262,The Bombay Bread Bar,"195 Spring St, New York, NY 10012, USA",,
276,The Osprey,"60 Furman St, Brooklyn, NY 11201, USA",,
279,Il Mulino New York - Tribeca,"361 Greenwich St, New York, NY 10013, USA",,
282,Il Mulino Prime - SoHo,"331 W Broadway, New York, NY 10013, USA",,
284,10 Corso Como - New York,"200 Front St, New York, NY 10038, USA",,
285,The Woo,"206 Spring St, New York, NY 10012, USA",,
287,Antica Pesa,"115 Berry St, Brooklyn, NY 11249, USA",,
292,The Capital Grille - NY- Wall Street,"120 Broadway, New York, NY 10271, USA",,
297,The Wright,"1071 5th Ave, New York, NY 10128, USA",,
298,Henry at Life Hotel,"19 W 31st St, New York, NY 10001, USA",,
303,Tarallucci e Vino East Village,"163 1st Avenue, New York, NY 10003, USA",,
305,Limani,"45 Rockefeller Plaza, New York, NY 10111, USA",,
308,Harold's,"1271 Broadway, New York, NY 10001, USA",,
310,Bellini,"483 Columbus Ave, New York, NY 10024, USA",,
311,Bellini,"483 Columbus Ave, New York, NY 10024, USA",,
315,Nonna Beppa,"290 Hudson St, New York, NY 10013, USA",,
318,Joseph's Restaurant,"3 Hanover Square, New York, NY 10004, USA",,
319,2 West at The Wagner Hotel,"2 West St, New York, NY 10004, USA",,
322,Soogil,"108 E 4th St, New York, NY 10003, USA",,
323,Senya,"109 1st Avenue, New York, NY 10003, USA",,
325,Stella Trattoria & Bar,"151 W 34th St, New York, NY 10001, USA",,
