restaurant_name,borough,building_num,street,zip_code,phone_num
#1 Chinese Restaurant,MANHATTAN,825,W 181ST ST,10033,(212)740-3188
#1 GARDEN CHINESE RESTAURANT,BROOKLYN,221,PROSPECT PARK W,11215,(917)250-8950
#1 Natural Juice Bar,QUEENS,685,SENECA AVE,11385,(347)956-5161
#1 SABOR LATINO RESTAURANT,BRONX,4120,WHITE PLAINS ROAD,10466,(718)653-2222
$ 1 SLICE PIZZA,BRONX,3414,JEROME AVE,10467,(347)993-0598
$1 PIZZA,MANHATTAN,832,6TH AVE,10001,(917)587-8888
$1.25 PIZZA,BROOKLYN,1276,FULTON ST,11216,(718)638-4685
$5 TO $9 RESTAURANT,BROOKLYN,7026,3RD AVE,11209,(646)764-1286
& PIZZA,MANHATTAN,15,W 28TH ST,10001,(212)779-0185
& PIZZA,MANHATTAN,740,BROADWAY,10003,(212)777-2042
'CESCA,MANHATTAN,166,W 75TH ST,10023,(212)758-6300
'ESSEN,MANHATTAN,290,MADISON AVE,10017,(212)689-0800
'RITAS,MANHATTAN,756,9TH AVE,10019,(212)974-2003
'WICHCRAFT,MANHATTAN,1407,BROADWAY,10018,(718)450-0886
(LEWIS DRUG STORE) LOCANDA VINI E OLII,BROOKLYN,129,GATES AVENUE,11238,(718)622-9202
1 2 3 BURGER SHOT BEER,MANHATTAN,738,10 AVENUE,10019,(212)315-0123
1 Banana Queen,BRONX,6,EAST MT EDEN AVENUE,10452,(718)731-0039
1 DARBAR,MANHATTAN,152,EAST   46 STREET,10017,(212)681-4500
1 EAST 66TH STREET KITCHEN,MANHATTAN,1,EAST   66 STREET,10065,(212)879-3900
1 HOTEL BROOKLYN BRIDGE,BROOKLYN,90,FURMAN ST,11201,(347)696-2500
1 HOTEL EMPLOYEE DINING KITCHEN #36,BROOKLYN,60,FURMAN ST,11201,(347)696-2500
1 OAK,MANHATTAN,453,WEST   17 STREET,10011,(212)242-1111
1 OR 8,BROOKLYN,66,SOUTH    2 STREET,11249,(718)384-2152
1 QUETZAL,BROOKLYN,7210,NEW UTRECHT AVE,11228,(929)666-9989
1 STOP PATTY SHOP,MANHATTAN,1708,AMSTERDAM AVENUE,10031,(212)491-7466
1 TASTE OF INDIA,QUEENS,13508,LIBERTY AVE,11419,(718)880-1224
1.5 DAK GALBI,QUEENS,15803,NORTHERN BLVD,11358,(917)285-2772
10 02 LOUNGE AND RESTAURANT,BRONX,806,E TREMONT AVE,10460,(917)617-2812
10 BELOW ICE CREAM,MANHATTAN,10,MOTT ST,10013,(347)879-5161
10 CORSO COMO,MANHATTAN,1,FULTON ST,10038,(212)265-9500
100% MR LIN,BROOKLYN,445,GOLD ST,11201,(917)578-7200
1001 NIGHTS CAFE,STATEN ISLAND,2025,RICHMOND AVENUE,10314,(718)370-8080
101 CAFE,QUEENS,9805,101 AVENUE,11416,(718)848-2233
101 DELI,QUEENS,10016,ROCKAWAY BEACH BOULEVARD,11694,(718)634-1121
101 KENNEDY FRIED CHICKEN,QUEENS,10815,101ST AVE,11419,(929)398-4053
101 MEAT SHOP,QUEENS,11601,101ST AVE,11419,(718)441-9333
101 MEAT SHOP II,QUEENS,24123,BRADDOCK AVE,11426,(917)642-2778
101 WILSON BAR,BROOKLYN,101,WILSON AVE,11237,(650)283-2056
