,name,website
0,Smoke Jazz and Supper Club,http://www.smokejazz.com/
1,Tavern on the Green,http://www.tavernonthegreen.com/
2,ABC Kitchen,http://www.abckitchennyc.com/
3,Catch New York,http://www.catchhg.com/
4,Becco,http://www.becco-nyc.com/
5,Estiatorio Milos - NY,http://www.estiatoriomilos.com/
6,Tao Uptown,http://www.taorestaurant.com/
7,Red Rooster Harlem,http://redroosterharlem.com/
8,Del Frisco's Double Eagle Steak House - New York City,http://delfriscos.com/
9,FIG & OLIVE Fifth Avenue,http://www.figandolive.com/
10,Rosa Mexicano by Lincoln Center,http://www.rosamexicano.com/
11,ABC Cocina,
12,Gallaghers Steakhouse - Manhattan,http://www.gallaghersnysteakhouse.com/
13,Boulud Sud,http://www.bouludsud.com/nyc
14,Nougatine at Jean Georges,http://www.jean-georgesrestaurant.com/
15,Sarabeth's Central Park South,http://www.sarabethsrestaurants.com/
16,Tao Downtown,http://www.taodowntown.com/
17,ilili,http://www.ililinyc.com/
18,Scarpetta,http://www.scarpettarestaurants.com/new-york
19,Atlantic Grill Near Lincoln Center,http://www.atlanticgrill.com/
20,Empellon Midtown,http://www.empellon.com/
21,Ocean Prime - New York,http://www.ocean-prime.com/locations/new-york-city
22,Sarabeth's West,http://www.sarabethswest.com/
23,STK - NYC - Midtown,http://www.stkhouse.com/
24,Toloache-Midtown,http://www.toloachenyc.com/
25,Blue Fin - New York,http://www.bluefinnyc.com/
26,Bar Boulud,http://www.barboulud.com/nyc/
27,Hakkasan - New York,http://hakkasan.com/locations/hakkasan-new-york/
28,Lincoln Ristorante,http://www.lincolnristorante.com/
29,Café Boulud,http://www.cafeboulud.com/nyc/
30,The View Restaurant,http://www.theviewnyc.com/
31,Park Avenue Spring,http://www.parkavenyc.com/
32,Zuma Japanese Restaurant - NY,http://www.zumarestaurant.com/
33,La Pecora Bianca - NoMad,http://www.lapecorabianca.com/
34,La Pecora Bianca - Midtown,http://lapecorabianca.com/
35,Calle Ocho,http://www.calleochonyc.com/
36,Sarabeth's Park Avenue South,http://www.sarabethsrestaurants.com/
37,Lavo - NYC,http://www.lavony.com/
38,La Masseria,http://www.lamasserianyc.com/
39,Lido,http://www.lidoharlem.com/
40,Ristorante Morini,http://www.ristorantemorini.com/
41,Morimoto New York,http://www.morimotonyc.com/
42,Aureole,http://www.charliepalmer.com/
43,Fogo de Chao Brazilian Steakhouse - New York,http://www.fogodechao.com/
44,Limani - NYC,http://www.limani.com/
45,Ai Fiori,http://www.aifiorinyc.com/
46,Philippe,http://www.philippechow.com/
47,'Cesca,http://www.cescanyc.com/
48,Butter Midtown,http://www.butterrestaurant.com/
49,Smith & Wollensky - New York,http://www.smithandwollenskynyc.com/
50,Orsay,http://www.orsayrestaurant.com/
51,Nice Matin,http://www.nicematinnyc.com/
52,db Bistro moderne,http://www.dbbistro.com/
53,The Capital Grille - NY – Time Life Building,http://www.capitalgrille.com/
54,FIG & OLIVE Meatpacking,http://www.figandolive.com/
55,Barbounia,http://www.barbounia.com/
56,Kellari Taverna,http://www.kellariny.com/
57,Craft,http://www.craftrestaurant.com/
58,Almond,http://almondrestaurant.com/s/flatiron/
59,Dos Caminos - Times Square,http://www.doscaminos.com/
60,Momofuku Nishi,http://nishi.momofuku.com/
61,Felidia,http://www.felidia-nyc.com/
62,Rosa Mexicano - Union Square,http://www.rosamexicano.com/
63,Taboon,http://taboononline.com/
64,Bocca Di Bacco (Theatre District - 45th St.),http://www.boccadibacconyc.com/
65,Rotisserie Georgette,http://www.rotisserieg.com/
66,The National Bar & Dining Rooms,http://www.thenationalnyc.com/
67,The Wayfarer,http://thewayfarernyc.com/
68,The Dining Room at The Metropolitan Museum of Art,http://www.metmuseum.org/visit/met-fifth-avenue#MembersDiningRoom
69,Il Mulino New York - Uptown,http://www.ilmulino.com/
70,Molyvos,http://www.molyvos.com/
71,Danji,http://www.danjinyc.com/
72,Tommy Bahama - New York,http://tommybahama.com/
73,Marseille,http://www.marseillenyc.com/
74,Sarabeth's East,http://sarabethsrestaurants.com/
75,The Capital Grille - NY – Chrysler Center,http://www.thecapitalgrille.com/
76,Hunt & Fish Club NYC,http://www.hfcnyc.com/
77,Ammos Estiatorio,http://www.ammosnewyork.com/
78,T-BAR Steak & Lounge (Upper East Side),http://www.tbarnyc.com/
79,Bocca di Bacco (Hell's Kitchen - 54th St.),http://www.boccadibacconyc.com/
80,The Clocktower,http://www.theclocktowernyc.com/
81,Masseria dei Vini,http://www.masseriadeivini.com/
82,Lexington Brass,http://www.catchhg.com/
83,Serra by Birreria,http://www.eataly.com/nyc-birreria
84,GAONNURI,http://www.gaonnurinyc.com/
85,Obao,http://www.obaony.com/
86,Remi,http://www.remi-nyc.com/
87,Glass House Tavern,http://www.glasshousetavern.com/
88,Dos Caminos - Third Avenue,http://www.doscaminos.com/
89,Stella 34 Trattoria,http://www.patinagroup.com/stella-34
90,MR CHOW - 57th,http://www.mrchow.com/
91,Casa Lever,http://www.casalever.com/
92,Jams - NYC,http://jamsrestaurant.nyc/
93,Ousia,http://www.ousianyc.com/
94,Rosa Mexicano - First Avenue,http://www.rosamexicano.com/
95,Red Cat,http://www.theredcat.com/
96,Ruth's Chris Steak House - New York City - Midtown,http://www.ruthschris.com/Restaurant-Locations/manhattan
97,Sea Fire Grill,http://www.theseafiregrill.com/
98,Blue Water Grill,http://www.bluewatergrillnyc.com/
99,Vaucluse,http://vauclusenyc.com/
100,LEGASEA,http://www.legaseany.com/
101,STK - NYC - Meatpacking,http://www.stkhouse.com/
102,Esca,http://www.esca-nyc.com/
103,The Leopard at des Artistes,http://www.theleopardnyc.com/
104,21 Club,http://www.21club.com/
105,Benoit Restaurant and Wine Bar,http://benoitny.com/
106,DaDong NY,http://www.dadongny.com/
107,Lincoln Square Steak,http://lincolnsquaresteak.com/
108,Club A Steakhouse,http://clubasteakhouse.com/
109,Anassa Taverna,http://www.anassataverna.com/
110,Cafe d'Alsace,http://www.cafedalsace.com/
111,Burke & Wills,http://www.burkeandwillsny.com/
